book_name,book_writer,book_date,book_price,book_cover,book_page,book_size,book_weight,book_category,book_publisher,sales_point
자본의 본성에 관하여 외,소스타인 베블런,2018-07-30,"9,810",반양장본,216,128*188mm,216,사회과학,책세상,920
프랑스 일하는 여성처럼,이쿠지마 아유미,2018-07-27,"11,250",반양장본,172,120*187mm,230,에세이,푸른지식,520
The Art of 해리 포터,마크 슈머라크,2018-07-20,"49,500",양장본,364,248*330mm,2810,예술/대중문화,아르누보,"4,460"
아메리칸 러스트,필립 마이어,2018-07-30,"14,850",반양장본,596,140*210mm,743,소설/시/희곡,문학동네,750
"기원 전후 천년사, 인간 문명의 방향을 설계하다",마이클 스콧,2018-08-03,"24,300",반양장본,468,148*220mm,654,역사,사계절,"4,790"
유튜브 레볼루션,"로버트 킨슬,?마니 페이반",2018-08-06,"16,200",반양장본,352,152*225mm,647,경제경영,더퀘스트,"6,690"
사가 Vol. 6,브라이언 K. 본,2018-07-25,"10,800",반양장본,152,167*257mm,289,만화,시공사(만화),"2,400"
자수로 만드는 사계절 입체꽃,스즈키 미에코,2018-08-10,"13,500",반양장본,88,190*257mm,333,건강/취미/레저,유나,"2,910"
우물쭈물하다 끝난 교사 이야기,유기창,2018-07-27,"15,300",NA,380,153*224mm,722,사회과학,살림터,310
사실들,필립 로스,2018-07-17,"12,420",양장본,288,128*188mm,378,에세이,문학동네,"5,870"
첫 문장,윤성희,2018-07-25,"10,080",양장본,152,104*182mm,234,소설/시/희곡,현대문학,"1,850"
좋은 의사는 소염제를 처방하지 않는다,하비 비겔슨,2018-08-01,"14,400",반양장본,320,152*223mm,480,건강/취미/레저,라의눈,"1,060"
시몬 드 보부아르,소피 카르캥,2018-07-25,"11,700",양장본,120,180*242mm,180,만화,거북이북스,620
쉿! 항아리의 비밀,"김홍신,?임영주",2018-08-10,"10,620",양장본,40,216*276mm,364,유아,노란우산,160
붙였다 뗐다! 야광 스티커 1 : 별자리 대소동,로이비쥬얼?(기획) ,2018-07-20,"4,410",NA,4,280*293mm,150,유아,로이북스,10
평범해서 특별한 밥상,이밥차 요리연구소,2018-07-20,"14,850",반양장본,320,188*254mm,988,가정/요리/뷰티,이밥차(그리고책),"1,670"
"안녕, 평양","성석제,?공선옥,?김태용,?정용준,?한은형,?이승민",2018-07-25,"11,520",반양장본,232,140*205mm,304,소설/시/희곡,엉터리북스,870
타자기가 들려주는 이야기,톰 행크스,2018-08-06,"14,400",양장본,500,130*200mm,640,소설/시/희곡,책세상,"2,930"
경제는 지리,미야지 슈사쿠,2018-07-25,"13,500",반양장본,280,140*203mm,359,경제경영,7분의언덕,"2,500"
전족,펑지차이,2018-07-25,"12,600",반양장본,280,145*220mm,396,소설/시/희곡,더봄,460
핵과 인간,정욱식,2018-07-23,"28,800",반양장본,704,153*225mm,995,사회과학,서해문집,710
"살금살금, 까치발…",크리스틴 슈나이더,2018-08-15,"10,800",양장본,48,220*285mm,441,유아,지양어린이,750
움베르토 에코의 경이로운 철학의 역사 1,"움베르토 에코,?리카르도 페드리가",2018-07-25,"72,000",양장본,904,165*240mm,1498,인문학,arte(아르테),"1,580"
처음 만나는 스페인 이야기 37,이강혁,2018-07-30,"15,300",반양장본,352,152*210mm,566,역사,지식프레임,"1,670"
빨래는 지겨워,하서찬,2018-07-20,"8,550",반양장본,76,168*214mm,244,어린이,웅진주니어,"1,190"
지킬과 하이드,"로버트 루이스 스티븐슨?(원작),?앤 루니",2018-07-30,"10,800",양장본,76,170*225mm,384,어린이,조선북스,90
오! 나의 달님,김지영,2018-07-28,"13,500",양장본,56,210*207mm,347,유아,북극곰,200
그것은 사랑이 아니다,로빈 스턴,2018-07-19,"13,500",반양장본,388,140*200mm,470,인문학,알에이치코리아(RHK),"2,790"
"안녕, 사과나무 언덕의 친구들",필립 C. 스테드,2018-07-16,"11,700",양장본,56,248*248mm,457,유아,웅진주니어,170
나무가 자라는 모습을 보았다,에르빈 토마,2018-07-25,"14,400",반양장본,256,140*205mm,329,과학,살림,450
인생은 수리가 됩니다,필 맥그로,2018-08-17,"14,220",반양장본,336,145*220mm,574,자기계발,청림출판,"8,750"
당신을 사랑할 수 있어 참 좋았다,곽재구,2018-07-29,"15,120",반양장본,368,140*205mm,584,에세이,해냄,"4,660"
꼬마 역무원 모리스,메그 맥라렌,2018-03-23,"10,800",양장본,38,250*260mm,408,유아,웅진주니어,80
Merry Summer + 아크릴물감 뉴에디션,드로잉메리,2018-08-07,"28,800",NA,104,168*250mm,198,예술/대중문화,휴머니스트,"17,640"
문재인의 말하기,김범준,2018-07-25,"14,400",양장본,284,135*200mm,494,자기계발,알에이치코리아(RHK),"1,330"
색깔의 역사,클라이브 기퍼드,2018-07-20,"17,100",양장본,72,216*290mm,638,어린이,노란돼지,"2,680"
2018 한반도의 봄,장윤희,2018-07-25,"19,620",NA,348,148*210mm,452,사회과학,지식의숲(넥서스),190
몰리는 할머니가 좋아요,레나 안데르손,2018-07-21,"8,100",양장본,28,170*200mm,202,유아,청어람아이(청어람미디어),170
"할머니, 몰리가 왔어요",레나 안데르손,2018-07-21,"8,100",양장본,32,170*200mm,203,유아,청어람아이(청어람미디어),250
Who? Special 시진핑,권용찬,2018-07-20,"11,520",양장본,180,192*260mm,590,어린이,다산어린이,410
공작 2,김당,2018-07-25,"16,200",반양장본,476,152*225mm,708,사회과학,이룸나무,"8,060"
공작 1,김당,2018-07-25,"16,200",반양장본,522,152*225mm,774,사회과학,이룸나무,"8,940"
공부가 쉬워지는 초등독서법,김민아,2018-07-23,"14,400",반양장본,364,152*210mm,581,좋은부모,카시오페아,"4,650"
사유여행,윤병렬,2018-07-30,"11,700",반양장본,216,128*188mm,294,인문학,나무자전거,80
스티커 아트북 : 랜드마크 엽서북,싸이프레스 콘텐츠기획팀,2018-08-05,"10,800",양장본,86,120*165mm,266,건강/취미/레저,싸이프레스,380
"단위, 세상을 보는 13가지 방법","킴벌리 아르캉,?메건 바츠케",2018-07-19,"22,500",반양장본,196,254*254mm,845,과학,다른,"1,070"
도티&잠뜰 현실 세계의 위험,김현수,2018-07-25,"8,550",NA,160,188*257mm,304,어린이,대원키즈,"2,270"
다이어트의 정석,수피,2018-08-06,"22,500",반양장본,456,152*223mm,769,건강/취미/레저,한문화,"11,450"
세상 편한 유아식판식,"박현규,?이진원",2018-07-23,"13,320",반양장본,260,188*235mm,655,가정/요리/뷰티,베가북스,"4,810"
파리 스케치,장자크 상페,2018-07-15,"13,320",양장본,124,188*257mm,652,에세이,열린책들,"1,810"
귀신 안녕,이선미,2018-07-28,"11,700",양장본,40,236*237mm,436,유아,글로연,960
불온한 숨,박영,2018-07-20,"11,700",반양장본,224,140*210mm,308,소설/시/희곡,은행나무,"27,740"
부엌칼의 최대 위기,미야니시 다쓰야,2018-08-01,"10,800",양장본,28,210*220mm,277,유아,"미래아이(미래M&B,미래엠앤비)",630
뉴욕 스케치,장자크 상페,2018-07-15,"13,320",양장본,96,188*257mm,558,에세이,열린책들,"1,140"
안 하던 짓 하니 살짝 재밌어졌다,도리이 미코,2018-07-30,"11,700",반양장본,192,128*188mm,192,자기계발,한국경제신문,"1,700"
있는 그대로 나답게,도연,2018-07-23,"12,600",반양장본,248,143*215mm,438,인문학,특별한서재,"4,920"
맥주어 사전,리스 에미,2018-07-24,"14,400",반양장본,228,140*210mm,435,가정/요리/뷰티,웅진지식하우스,"1,010"
뽀로로 토이북 탈것놀이 : 에디의 변신 자동차,키즈아이콘 편집부,2018-07-20,"14,000",양장본,20,415*290mm,830,유아,키즈아이콘(아이코닉스),230
내가 최고 그리기 왕,바나나비?(그림) ,2018-07-16,"9,900",반양장본,128,210*250mm,470,유아,키움,270
한 줌의 모래,시빌 들라크루아,2018-08-16,"10,800",양장본,28,240*265mm,438,유아,북스토리아이,"1,210"
과학자가 되는 방법,남궁석,2018-07-25,"13,500",반양장본,336,128*188mm,336,과학,이김,"5,700"
초등 코딩 무작정 따라하기,"에이럭스 코딩 교육 연구소,?곽혜미",2018-07-23,"14,400",NA,268,220*305mm,724,어린이,길벗,"1,150"
안녕 외롭고 수상한 가게 2,최임수,2018-07-20,"11,700",반양장본,432,140*200mm,651,만화,레진코믹스(레진엔터테인먼트),490
안녕 외롭고 수상한 가게 1,최임수,2018-07-20,"11,700",반양장본,376,140*200mm,573,만화,레진코믹스(레진엔터테인먼트),570
천 개의 태양보다 밝은,로베르트 융크,2018-07-24,"28,800",양장본,580,145*215mm,890,과학,다산북스,420
수영하는 여자들,리비 페이지,2018-08-03,"12,600",반양장본,408,146*206mm,483,소설/시/희곡,구픽,"2,650"
나는 뻔뻔한 엄마가 되기로 했다,김경림,2018-07-30,"13,320",반양장본,328,150*210mm,560,좋은부모,메이븐,"16,395"
유사과학 탐구영역 1,계란계란,2018-07-27,"14,400",반양장본,300,148*210mm,511,과학,뿌리와이파리,"4,880"
시원탕 옆 기억사진관,박현숙,2018-08-01,"9,900",반양장본,140,170*230mm,303,어린이,노란상상,390
골목길 역사산책 : 개항도시편,최석호,2018-07-25,"14,400",반양장본,400,152*215mm,628,역사,시루,"1,070"
신나는 종이접기,"고이녀,?박은경,?송미령,?조은주",2018-07-24,"12,600",반양장본,168,190*245mm,543,건강/취미/레저,한즈미디어(한스미디어),190
하하하 유아식,김명희,2018-07-23,"16,200",반양장본,252,220*185mm,555,좋은부모,디자인하우스,260
마법의 빨간 부적,김리리,2018-07-20,"9,000",반양장본,144,168*220mm,302,어린이,창비,"1,500"
"미피 시리즈 세트 1 : 미피야, 반가워! - 전5권",딕 브루너,2018-07-12,"28,800",양장본,150,160*160mm,848,유아,비룡소,"6,605"
게으르면 좀 어때서,변금주,2018-07-25,"13,950",NA,264,145*210mm,343,자기계발,느낌이있는책,"1,935"
헬보이 Hellboy 3,마이크 미뇰라,2018-07-25,"13,500",반양장본,176,167*257mm,334,만화,시공사(만화),"1,045"
바바리안 데이즈,윌리엄 피네건,2018-07-20,"19,800",반양장본,660,130*213mm,690,에세이,알마,"1,980"
내 ID는 강남미인 1~2 세트 - 전2권,기맹기,2018-08-08,"21,600",NA,612,152*210mm,796,만화,온다,"10,305"
아이가 좋아하는 종이접기,이명희,2018-07-23,"13,320",반양장본,384,188*230mm,856,유아,작은우주,340
바바파파 스크랩북 스터디 다이어리,박철범,2018-07-25,"14,400",양장본,248,152*225mm,569,청소년,놀(다산북스),240
타샤 튜더 컬렉션 특별 세트 (도서 6권 + 다이어리),타샤 튜더,2018-07-20,"78,300",양장본,1268,145*205mm,1775,에세이,윌북,"1,865"
쉽고 귀여운 종이접기와 오리기 대백과,이시카와 마리코,2018-07-25,"12,420",반양장본,184,210*280mm,600,유아,다락원,520
"아빠, 육아휴직해도 괜찮아",손정환,2018-07-25,"12,420",반양장본,256,150*220mm,429,좋은부모,라온북,885
뚝딱뚝딱 마이북 2,파란자전거 편집부,2018-07-20,"9,520",반양장본,112,270*340mm,212,어린이,파란자전거,120
뚝딱뚝딱 마이북 1,파란자전거 편집부,2018-07-20,"9,520",반양장본,112,270*340mm,208,어린이,파란자전거,130
청년프레임,김기헌,2018-07-27,"12,600",반양장본,224,150*210mm,353,사회과학,이담북스,280
미스터 요리왕 25,스에다 유이치로,2018-07-26,"4,950",NA,232,128*188mm,232,만화,㈜소미미디어,495
브랜드 마케터들의 이야기,"이승희,?정혜윤,?손하빈,?이육헌",2018-07-24,"14,220",반양장본,448,148*217mm,748,경제경영,북바이퍼블리,"9,645"
진리의 가격,마르셀 에나프,2018-07-20,"34,200",반양장본,644,152*225mm,949,인문학,눌민,"3,560"
좋은 삶이란 무엇인가,장영란,2018-07-30,"19,800",반양장본,264,148*210mm,409,인문학,서광사,315
실크로드,리웨이,2018-08-01,"25,200",반양장본,688,153*220mm,1018,역사,시그마북스,65
포르투알레그리의 주민참여예산제도,이안 브루스,2018-07-27,"13,500",NA,244,220*152mm,317,사회과학,황소걸음,700
셜록을 찾아서,표창원,2018-07-25,"16,200",반양장본,312,135*190mm,450,에세이,신사와전사,"2,030"
세상에서 가장 재미있는 미국사,래리 고닉,2018-07-25,"17,820",반양장본,408,188*265mm,826,역사,궁리,"5,550"
가족이니까요,박다솜,2018-07-25,"10,800",양장본,44,240*240mm,402,유아,개암나무,575
놀라운 리얼 종이접기 4,후쿠이 히사오,2018-07-12,"11,520",반양장본,116,183*257mm,370,건강/취미/레저,에밀,370
슬기로운 팀장생활의 기술,함규정,2018-08-01,"12,420",반양장본,228,152*219mm,360,자기계발,글담출판,"1,110"
흐르는 편지,김숨,2018-07-23,"11,700",반양장본,310,145*207mm,389,소설/시/희곡,현대문학,"9,475"
백 번째 여왕,에밀리 킹,2018-07-30,"13,320",반양장본,420,127*188mm,453,소설/시/희곡,에이치,"3,400"
요시타케 신스케 스페셜 패키지(한정판) - 전3권,요시타케 신스케,2018-07-23,"31,500",양장본,96,225*280mm,1195,어린이,주니어김영사,"9,310"
집중력과 기억력을 높이는 미로 찾기,아델 디샤넬,2018-07-20,"9,000",반양장본,104,212*280mm,401,건강/취미/레저,오렌지연필,340
엄마도 꿈꿀 권리가 있다,임지수,2018-07-25,"15,300",양장본,264,148*200mm,536,에세이,터치아트,"1,970"
위대한 중국학자,데이비드 B. 허니,2018-07-16,"25,200",양장본,496,153*223mm,955,인문학,글항아리,825
평양책방,한상언,2018-07-03,"45,000",NA,419,223*290mm,1131,인문학,한상언영화연구소,870
정형외과 운동법,은상수,2018-07-27,"15,300",NA,376,152*214mm,489,건강/취미/레저,북레시피,"6,320"
솔라,이언 매큐언,2018-07-24,"13,500",양장본,448,128*188mm,549,소설/시/희곡,문학동네,"4,235"
베지테리언 레시피,타카시마 료야,2018-07-25,"11,700",반양장본,152,188*245mm,460,가정/요리/뷰티,리스컴,"1,020"
나의 첫 세계사 여행 : 인도.동남아시아,전국역사교사모임,2018-07-23,"13,500",반양장본,244,180*248mm,575,어린이,휴먼어린이,960
파워풀,패티 맥코드,2018-08-01,"13,500",반양장본,252,145*212mm,418,경제경영,한국경제신문,"9,450"
이한우의 태종실록 : 재위 7년,이한우?(옮긴이) ,2018-07-23,"29,520",양장본,564,152*223mm,1015,역사,21세기북스,30
이한우의 태종실록 : 재위 9년,이한우?(옮긴이) ,2018-07-23,"32,220",양장본,644,152*223mm,1159,역사,21세기북스,30
신의 망치,아서 C. 클라크,2018-07-30,"13,320",반양장본,292,137*197mm,344,소설/시/희곡,아작,"5,735"
공병호의 무기가 되는 독서,공병호,2018-07-30,"11,700",NA,224,148*210mm,291,자기계발,미래의창,"2,480"
오늘은 그냥 즐거워도 돼!,김희겸,2018-07-20,"11,700",반양장본,240,148*185mm,353,에세이,위즈덤하우스,"1,090"
단숨에 읽는 부동산 시장 독법,최진기,2018-07-30,"15,120",반양장본,300,152*225mm,531,경제경영,이지퍼블리싱,"6,385"
"사랑의 완성, 결혼을 다시 생각하다",그레고리 팝캑,2018-07-20,"14,850",반양장본,396,152*223mm,585,가정/요리/뷰티,진성북스,350
청춘의 독서 (Gift Edition) (유시민 친필 인쇄 문구가 담긴 청춘의 노트 포함),유시민,2018-07-20,"14,400",반양장본,488,145*210mm,634,인문학,웅진지식하우스,"26,665"
운을 만드는 집,신기율,2018-07-27,"13,500",반양장본,272,140*210mm,442,자기계발,위즈덤하우스,"13,860"
늑대인간 마을에서 탈출,SCRAP,2018-07-16,"14,850",반양장본,208,148*210mm,346,건강/취미/레저,icox(아이콕스),435
이한우의 태종실록 : 재위 8년,이한우?(옮긴이) ,2018-07-23,"29,520",양장본,520,153*224mm,780,역사,21세기북스,30
"야옹아, 내가 집사라도 괜찮을까?",마담툰,2018-07-19,"10,080",반양장본,176,140*200mm,232,만화,네오카툰,630
모두가 인기를 원한다,미치 프리스턴,2018-07-27,"13,500",반양장본,284,140*210mm,390,인문학,위즈덤하우스,"1,475"
말의 서랍,김종원,2018-08-03,"13,500",반양장본,304,152*210mm,521,자기계발,성안당,"1,885"
행복한 교실 수업을 위한 비주얼 씽킹 교과서,온은주,2018-07-30,"14,400",반양장본,272,170*230mm,517,사회과학,영진.com(영진닷컴),665
결심만 하는 당신에게,최명기,2018-07-16,"13,500",반양장본,248,152*223mm,398,자기계발,알키,"2,175"
너의 모든 순간을 기억할게,썬비,2018-07-20,"12,420",양장본,136,148*190mm,300,좋은부모,위즈덤하우스,935
먹는 즐거움은 포기할 수 없어!,구스미 마사유키,2018-08-03,"11,520",반양장본,224,113*185mm,226,에세이,인디고(글담),"12,510"
좀도둑 가족,고레에다 히로카즈,2018-08-16,"11,700",반양장본,280,137*197mm,324,소설/시/희곡,비채,"9,460"
당신의 말이 어색한 건 말 때문이 아니다,지나 바넷,2018-07-23,"12,600",반양장본,320,140*212mm,485,자기계발,한국경제신문,410
검은 개가 온다,송시우,2018-07-20,"12,420",반양장본,432,130*203mm,491,소설/시/희곡,시공사,"3,465"
트로츠키 1927~1940,토니 클리프,2018-07-23,"22,500",반양장본,580,152*223mm,741,사회과학,책갈피,775
내 멋대로 집 놀이책,라보 아틀리에 공동체,2018-07-25,"16,200",반양장본,256,170*230mm,561,어린이,시금치,220
한밤의 미술관,이소라,2018-07-27,"13,500",반양장본,292,152*200mm,502,에세이,혜다,"1,090"
일상에 숨겨진 수학 이야기,콜린 베버리지,2018-07-31,"14,400",반양장본,192,190*235mm,540,과학,소우주,"2,700"
에세이를 써보고 싶으세요?,김은경,2018-07-20,"11,700",NA,240,128*188mm,240,인문학,호우,"10,895"
수학 탐정스 1,조인하,2018-07-20,"10,800",양장본,100,148*210mm,355,어린이,아이세움,"17,710"
패션 종이인형,박향미,2018-08-10,"15,300",양장본,66,190*260mm,695,건강/취미/레저,서우미디어,"1,360"
뉴욕타임스 과학,"나탈리 앤지어,?월데머 캠퍼트,?월터 설리번,?존 노블 윌포드,?칼 짐머",2018-06-29,"34,200",양장본,904,152*225mm,1382,과학,열린과학,550
도티&잠뜰 : 미래 에너지,유대영,2018-07-20,"8,550",반양장본,164,188*257mm,312,어린이,대원키즈,470
모든 것의 가장자리에서,파커 J. 파머,2018-07-27,"13,500",반양장본,280,140*200mm,406,인문학,글항아리,"19,075"
카를 마르크스의 혁명적 사상,알렉스 캘리니코스,2018-07-26,"13,500",반양장본,392,148*210mm,515,사회과학,책갈피,950
나를 지워줄게,클레어 맥킨토시,2018-07-30,"14,220",반양장본,568,140*210mm,645,소설/시/희곡,나무의철학,"3,210"
학교의 품격,임정훈,2018-07-20,"13,500",반양장본,264,138*210mm,353,사회과학,우리교육,775
리틀 파워 드릴 놀이 가방,애플비북스 편집부,2018-06-29,"24,500",NA,26,213*213mm,1173,유아,애플비,875
조선에 놀러간 고양이,아녕,2018-07-27,"18,000",양장본,104,260*250mm,778,역사,위즈덤하우스,"4,710"
정조처럼 소통하라,정창권,2018-08-02,"13,500",NA,268,152*225mm,509,역사,사우,525
강으로,올리비아 랭,2018-07-20,"13,500",반양장본,380,135*200mm,443,에세이,현암사,"2,800"
자존감 초등미술,임은지,2018-07-30,"13,500",반양장본,160,210*260mm,572,좋은부모,마인드빌딩,335
오늘 내 기분은요,황정하,2018-07-20,"11,520",반양장본,520,128*188mm,539,에세이,미메시스,"1,095"
밥이라서 더 좋은 샐러드 반찬,윤희정,2018-07-25,"13,500",반양장본,234,152*223mm,485,가정/요리/뷰티,세상풍경,"2,800"
도티&잠뜰 TV 한여름 밤의 오싹한 이야기,샌드박스 네트워크,2018-07-20,"7,650",NA,90,182*230mm,171,어린이,대원키즈,"1,640"
사람들을 위한 자본주의,루이기 진갈레스,2018-07-20,"16,200",반양장본,392,152*225mm,606,경제경영,한국경제신문,215
유라시아로의 시간 여행,"임영애,?주경미,?강인욱,?정재훈,?김장구,?조원",2018-07-13,"16,200",반양장본,320,152*214mm,520,역사,사계절,"1,140"
조선 건국 잔혹사,배상열,2018-07-31,"15,300",반양장본,400,152*223mm,717,역사,추수밭(청림출판),350
리틀램 동물농장,키즈위드 편집부,2018-06-01,"13,440",NA,14,347*324mm,413,유아,키즈위드,530
팩트체크 독도,유미림,2018-07-13,"14,220",NA,308,140*220mm,400,역사,역사공간,240
조선관청기행,박영규,2018-07-20,"11,700",반양장본,336,152*225mm,490,역사,김영사,985
"조선 무인의 역사, 1600~1894년",유진 Y. 박,2018-07-13,"18,000",반양장본,292,152*224mm,566,역사,푸른역사,915
사교성 없는 소립자들,전경린,2018-07-25,"12,600",NA,256,135*205mm,333,에세이,섬앤섬,800
도란도란 옛이야기 속으로 대동야승 그림책 세트 - 전4권,"박연경,?김수연,?이여희,?정수",2018-07-15,"43,200",양장본,42,270*245mm,143,어린이,머스트비,60
"사랑, 세상에서 가장 위대한",헨리 드러몬드,2018-07-16,"6,300",양장본,64,116*180mm,90,종교/역학,IVP,"3,785"
100원짜리만 받는 과자 가게,보린,2018-07-20,"11,700",양장본,40,229*300mm,515,유아,스콜라(위즈덤하우스),360
시민의 물리학,유상균,2018-08-01,"14,850",NA,312,162*232mm,593,과학,플루토,"2,385"
타오르는 세계,아이작 마리온,2018-07-13,"14,220",반양장본,672,135*200mm,668,소설/시/희곡,황금가지,280
서재를 떠나보내며,알베르토 망겔,2018-07-30,"12,600",양장본,240,121*188mm,387,인문학,더난출판사,"5,020"
마크 존스의 선행과 상급,마크 존스,2018-07-15,"7,650",반양장본,128,130*200mm,166,종교/역학,이레서원,"3,400"
초원,우미정,2018-07-27,"11,700",양장본,48,280*212mm,413,어린이,책고래,610
위대한 강의 삶과 죽음,김종술,2018-07-23,"14,400",반양장본,328,140*205mm,420,사회과학,한겨레출판,"1,890"
스티커 아트북 : 아이 러브 애니멀,아트인북 기획팀,2018-07-10,"14,220",반양장본,84,225*300mm,611,건강/취미/레저,아트인북,"1,335"
"그 조리법, 영양소의 90%를 버리고 있어요!",도쿄지케이카이의과대학 부속병원 영양부,2018-07-20,"11,700",반양장본,148,160*230mm,379,가정/요리/뷰티,비타북스,"6,750"
치즈 인 더 트랩 시즌 1 세트 - 전6권,순끼,2018-07-06,"64,800",NA,1616,148*210mm,2101,만화,위즈덤하우스,355
토르 천둥의 신 Vol.2 : 신폭탄,제이슨 아론,2018-07-25,"10,800",NA,136,167*257mm,258,만화,시공사(만화),605
모험 에레키테 섬 2,츠루타 겐지,2018-07-15,"9,900",반양장본,196,145*210mm,344,만화,세미콜론,"4,580"
En SPAIN 엔 스페인,도은진,2018-07-18,"17,100",반양장본,300,163*215mm,546,여행,오브바이포,"3,445"
체공녀 강주룡,박서련,2018-07-18,"11,700",반양장본,256,150*210mm,361,소설/시/희곡,한겨레출판,"9,785"
"고백, 손짓, 연결",김민섭,2018-07-25,"11,700",NA,228,130*190mm,296,사회과학,요다,"2,145"
결정판 아르센 뤼팽 전집 1,모리스 르블랑,2018-07-02,"29,700",양장본,868,144*214mm,1092,소설/시/희곡,arte(아르테),"1,375"
장인의 공부,피터 콘,2018-07-14,"13,500",반양장본,324,128*188mm,310,인문학,유유,625
"아빠, 나 여기 있어요!",샘 맥브래트니,2018-07-20,"18,000",NA,12,210*210mm,382,유아,베틀북,145
보통 사람을 위한 현대 수학,이언 스튜어트,2018-07-23,"22,500",반양장본,520,150*225mm,730,과학,휴머니스트,"2,090"
수노타의 로맨틱 프랑스 자수 세계지도,김현정,2018-07-20,"13,050",반양장본,148,190*245mm,503,건강/취미/레저,보랏빛소,"1,220"
깨달음의 혁명,이반 일리치,2018-08-01,"14,400",반양장본,308,128*188mm,308,사회과학,사월의책,"2,255"
팔과 다리의 가격,장강명,2018-07-30,"9,450",반양장본,136,128*188mm,188,에세이,도서출판 아시아,"2,155"
수리부엉이는 황혼에 날아오른다,"무라카미 하루키,?가와카미 미에코",2018-08-01,"12,600",반양장본,360,128*188mm,407,에세이,문학동네,"52,805"
웃으면서 할 말 다하는 사람들의 비밀,오수향,2018-07-25,"12,600",반양장본,224,140*200mm,291,자기계발,리더스북,"8,060"
자궁 리셋,김윤희,2018-07-17,"15,300",반양장본,296,152*223mm,557,건강/취미/레저,위즈덤하우스,"3,080"
행운 전달자,니콜라우스 하이델바흐,2018-07-20,"10,800",양장본,48,212*255mm,396,어린이,풀빛,335
평양의 시간은 서울의 시간과 함께 흐른다,진천규,2018-07-30,"18,000",반양장본,316,173*225mm,650,사회과학,타커스(끌레마),"19,305"
잠들기 전 뽀뽀 100번!,맥 반 가겔동크,2018-07-15,"11,700",양장본,68,227*227mm,499,유아,보랏빛소,30
검의 폭풍 1,조지 R. R. 마틴,2018-07-27,"17,550",반양장본,804,145*208mm,1018,소설/시/희곡,은행나무,"8,965"
"세금, 알아야 바꾼다","박지웅,?김재진,?구재이",2018-07-23,"15,120",반양장본,296,152*225mm,532,경제경영,메디치미디어,"1,700"
촛불민중혁명사,원희복,2018-07-17,"18,000",반양장본,440,152*225mm,645,사회과학,도서출판 말,620
사라진 독자를 찾아서,이성규,2018-07-25,"10,800",반양장본,112,128*188mm,140,사회과학,스리체어스,945
못다 핀 꽃,이경신,2018-08-13,"15,300",반양장본,304,145*190mm,405,역사,휴머니스트,590
소설의 첫 만남 : 공감력 세트 - 전3권,"김애란,?현덕,?스콧 니컬슨",2018-07-27,"20,250",NA,280,122*188mm,280,청소년,창비,"1,390"
쓰릴 미,벤저민 퍼시,2018-07-23,"13,500",반양장본,312,152*216mm,402,인문학,홍시,805
"정리만 했을 뿐인데, 마음이 편안해졌다",다네이치 쇼가쿠,2018-07-20,"12,150",반양장본,192,148*210mm,278,자기계발,북클라우드,"2,750"
코믹 메이플 스토리 수학도둑 65,송도수,2018-07-20,"8,550",반양장본,176,188*257mm,334,어린이,서울문화사,"7,765"
아주 어른스러운 산책,한수희,2018-07-13,"12,150",NA,240,130*188mm,312,에세이,마루비,"3,225"
안토니우스와 클레오파트라 3,콜린 매컬로,2018-08-03,"12,150",반양장본,256,141*210mm,340,역사,교유서가,150
안토니우스와 클레오파트라 1~3 세트 - 전3권,콜린 매컬로,2018-08-03,"40,500",반양장본,1024,141*210mm,1331,역사,교유서가,"5,560"
안토니우스와 클레오파트라 1,콜린 매컬로,2018-08-03,"13,950",반양장본,360,141*210mm,466,역사,교유서가,340
용감한 선장들,조지프 러디어드 키플링,2018-07-25,"11,700",반양장본,384,128*188mm,405,소설/시/희곡,찰리북,760
나의 첫 수채화 컬러링북,박시현,2018-07-25,"11,700",NA,112,165*225mm,213,예술/대중문화,경향BP,"1,140"
오리엔탈 피아노,제나 아비라셰드,2018-07-15,"18,000",반양장본,212,182*259mm,966,만화,이숲,305
"나루쌤, 비유쌤의 참 쉬운 물감놀이","김동욱,?오선주",2018-07-20,"12,600",반양장본,191,217*240mm,569,좋은부모,길벗,485
집으로 가는 길,임경규,2018-07-15,"14,850",NA,356,148*215mm,463,사회과학,앨피,75
인생 우화,류시화,2018-07-30,"14,400",양장본,356,127*187mm,529,소설/시/희곡,연금술사,"49,090"
"말재주는 없지만, 한마디 하겠습니다",오수향,2018-07-25,"12,600",반양장본,276,148*210mm,402,자기계발,책들의정원,75
문노트 Moon Note,별 편집부,2018-07-20,"8,400",양장본,224,130*185mm,314,자기계발,별,580
"그럼에도, 내키는 대로 산다",이유미,2018-07-25,"12,420",반양장본,164,128*182mm,320,에세이,MY(흐름출판),"2,745"
어쌔신 크리드 : 레벨레이션,올리버 보든,2018-07-17,"14,220",반양장본,552,150*225mm,706,소설/시/희곡,제우미디어,820
11문자 살인사건,히가시노 게이고,2018-07-13,"13,320",양장본,344,127*188mm,453,소설/시/희곡,알에이치코리아(RHK),"21,680"
우리는 마약을 모른다,오후,2018-07-20,"13,500",반양장본,300,140*215mm,423,인문학,동아시아,"13,295"
모두가 헤어지는 하루,서유미,2018-07-20,"11,700",반양장본,196,145*210mm,281,소설/시/희곡,창비,"4,370"
고래 책,안드레아 안티노리,2018-09-11,"15,300",반양장본,64,240*270mm,173,어린이,단추,"3,790"
