도시코드,도 시 명,공 항 명,국  가
HKD,HAKODATE,하꼬다데,일본
HKG,HONG KONG,홍콩,홍콩
HKJ,ASAHIGA,아사히까와,일본
HKT,PHUKET,푸켓,타이
HLP,JAKARRA HALIM,"할림,자카르타",인도네시아
HMN,ALAMOGORDO,앨러머고도,미국
HNA,MORIOKA,모리오카,일본
HND,TOKYO HANEDA,하네다,일본
HNL,HONOLULU,호놀루루,미국
HON,HORON,호른,미국
HOU,HOUSTON,휴스톤,미국
HPN,WESTCHESTER COUNTY,웨스트체서,미국
HRB,HARBIN,하얼빈,중화인민공화국
HSG,SAGA,사가,일본
HSV,HUNTSVILLE,헌츠빌,미국
HTA,CHITA,치타,러시아
HUI,HUI HUE,휴이휴,베트남
HUN,HUALIEN,화리엔,대만
HYD,HYDERABAD,하이데라바드,인도
IAB,MCCONNELL,미국,미국
IAD,D.C DULLES,워싱턴 둘리스,미국
IAH,HOUSTON,휴스턴,미국
IAI,KONA,코나,미국
ICN,INCHEON,인천,대한민국
ICT,WICHITA,위치콘,미국
IEV,KIEV,키에프,러시아
IFN,ISFAHAN,이스파한,이란
IGU,IGUASSU FALLS,이과수,브라질
IKN,IWAKUNI,이와쿠니,일본
IKT,IKT IRKUTSK,일크트스크,러시아
ILM,WILMINGTON,윌밍턴,미국
ILN,Wilmington,윌밍턴,미국
IND,INDIANAPOLIS,인디아나폴리스,미국
IQN,QINGYANG,퀸강장,중화인민공화국
ISB,ISLAMABAD,이슬라마바드,파키스탄
IST,ISTANBUL,이스탄불,터키
ITM,ITAMI(NARITA),이따미,일본
IWJ,IWAMI,이와미,일본
IZO,IZUMO,이즈모,일본
JAI,JAIPUR,자이푸르,인도
JAX,JACKSONVILLE,잭슨빌,미국
JDG,JEDONG,제동,대한민국
JED,JEDDAH,제다,사우디아라비아
JFK,JOHN F.KENNEDY,뉴욕,미국
JHB,JOHOR BAHRU,조호바루,말레이시아
JIB,JIBUTY,지부티,지부티
JKT,JAKARTA,자카르타,인도네시아
JMK,MIKONOS,미코노스,그리스
KAD,KADUNA,카두나,나이지리아
KAE,KANGWEON,강원,대한민국
KAG,KANG REUNG,강릉,대한민국
KBL,KABUL K. RAWWASH,카불 로워시,아프가니스탄
KBV,KRABI,끄라비,타이
KCH,KUCHING,쿠칭,말레이시아
KCZ,KOCHI,고찌,일본
KEF,ROYKJAVIK KEFLAVIK,케프라비크,아이슬란드
KEJ,KEMEROVO,케메로보,러시아
KGF,KARAGANDA,카라간다,카자흐스탄
KHH,KAOHSIUNG,카오슝,대만
KHI,KARACHI,카라치,파키스탄
KHN,NANCHANG,난창,중화인민공화국
KHV,HABAROBSK,하바로보스크,러시아
KIJ,NIIGATA,니이가타,일본
KIV,KISHINEV,키쉬네프,러시아
KIX,OSAKA KANSAI,오사카,일본
KJA,KRASNOJARSK,크라스노얄스크,러시아
KJG,KOCHANG,고창,대한민국
KKI,ST THOMAS ISLAND,SPB,미국
KKJ,KITA KYUSHU,키타큐슈,일본
KLD,MIGALOF,미갈로프,러시아
KLO,KALIBO,칼리보,필리핀
KMG,KUNMING,쿤밍,중화인민공화국
KMI,MIYAZAKI,미와사키,일본
KMJ,KUMAMOTO,구마모도,일본
KMQ,KOMATSU,고마스,일본
KOA,KONA,코나,미국
KOJ,KAGOSHIMA,카고시마,일본
KOW,GANZHOU,광조우,중화인민공화국
KPE,CHINHAE,진해,대한민국
KPO,POHANG,포항,대한민국
KRT,KHARTOUM,카툼,수단
KSG,PYUNGTAEK,평택,대한민국
KSK,SUSAK,수색,대한민국
KSM,SINCHONRI,성남,대한민국
KSW,SUWON,수원,대한민국
KTM,KATHMANDU,카투만두,네팔
KTP,HAEMI,해미(서산),대한민국
KUA,KOOANTAN,쿠안탄,말레이시아
KUF,SAMARA,사마라,러시아
KUH,KUSHIRO,구시로,일본
KUL,KUALA LUMPUR,쿠알라룸푸르,말레이시아
KUN,KAUNAS,카우나스,러시아
KUV,KUNSAN,군산,대한민국
KWE,GUIYANG,구이양,중화인민공화국
KWG,LOZUVATIKA,로조바트카,우크라이나
KWI,KUWAIT,쿠웨이트,쿠웨이트
KWJ,GWANGJU,광주,대한민국
KWL,GUILIN,계림,중화인민공화국
KXK,KOMSOMSKNAMUR,콤솜스크나무르,러시아
KZA,KAZAKHSTAN,카자흐스탄,카자흐스탄
KZK,KOMPONG THORN,콤퐁,캄보디아
KZN,KAZAN,카잔,러시아
LAD,LUANDA,르완다,중앙아프리카 공화국
LAH,LABUHA,라부하,인도네시아
LAO,LAOAG,라오아그,필리핀
LAS,LAS VEGAS,라스베가스,미국
LAX,LOS ANGELES,로스앤젤레스,미국
LBG,LE BOURGET,파리 르부아르,프랑스
LBU,LABUAN,라부안,말레이시아
LBV,LIBREVILLE,리브르빌,가봉
LCA,LARNACA,라르나카,키프로스
LCK,LICENBEK,리켄백,미국
LED,LENINGRAD,레닌그라드,러시아
LEJ,LEIPJIG,라이프치히,독일
